title,year,description,genre
tesnota,2017,Po opuszczeniu rodzinnego przyjęcia młoda para Żydów nie wraca przez noc do domu. Rano rodzice otrzymują żądanie okupu.,drama
le corniaud,1965,"Przestępca ukrywa kosztowności w samochodzie mało rozgarniętego turysty, mając nadzieję, że uda mu się przemycić je przez granicę.",comedy
house of boys,2009,"Osiemnastoletni Frank ucieka z domu razem ze swoją najlepszą przyjaciółką. Kiedy dziewczyna go opuszcza, chłopak znajduje pracę jako tancerz erotyczny.",drama
sidney hall,2017,Młody pisarz niespodziewanie odnosi światowy sukces. Wkrótce znika bez śladu.,drama
bella,2006,Kelnerka poznaje międzynarodową gwiazdę piłki nożnej.,drama
submarino,2010,Dręczeni wyrzutami sumienia po tragicznych wydarzeniach z dzieciństwa dwaj bracia od lat nie utrzymują ze sobą kontaktu. Pretekstem do ponownego spotkania staje się pogrzeb matki. ,drama
the end of the tour,2015,"Dziennikarz magazynu ""Rolling Stone"" przeprowadza pięciodniowy wywiad z cenionym pisarzem Davidem Fosterem Wallace'em.",drama
pengabdi setan,2017,"Po śmierci chorej matki pewną rodzinę zaczyna nawiedzać zjawa, łudząco przypominająca zmarłą kobietę.",horror
asymetria,2020,"Wieczorną kłótnię Piotra i Weroniki przerywają nagle na ulicy gangsterzy. Gdy dochodzi do szarpaniny, ginie syn wysoko postawionej oraz wpływowej urzędniczki.",drama
i.q.,1994, Akcja rozgrywa się w latach 50. w uniwersyteckim mieście Princeton w stanie New Jersey. Gdy pewnego razu Catherine (Meg Ryan) i James (Stephen Fry) trafiają do... ,comedy
berlin syndrome,2017,"Australijska fotoreporterka poznaje tajemniczego mężczyznę, z którym spędza noc. Następnego dnia kobieta odkrywa, że jest uwięziona w jego mieszkaniu. ",thriller
date and switch,2014,Michael i Matty pragną stać się mężczyznami jeszcze przed studniówką. Jednak w oczach koleżanek nie są atrakcyjni. ,comedy
hampstead,2017,"Starsza kobieta pomaga nowo poznanemu mężczyźnie walczyć o dom. Przekonuje się, że nawet w jesieni życia miłość jest możliwa. ",comedy
turner &amp; hooch,1989,"Młody detektyw bierze pod opiekę psa, który był świadkiem morderstwa swojego właściciela.",comedy
goethe!,2010,"Początkujący poeta poznaje kobietę, która staje się dla niego inspiracją do stworzenia utworów literackich o miłości. ",drama
sommersby,1993,"Uznany za zmarłego Jack wraca do domu. Jego żona i mieszkańcy miasteczka dostrzegają, że mężczyzna bardzo się zmienił. ",drama
the last letter from your lover,2021,"Ellie - londyńska dziennikarka - z pasją odkrywa historię zakazanej miłości, której ślad zachował się w odnalezionych listach sprzed pół wieku.",drama
secuestro,2016,"Niemy chłopiec zeznaje, że został porwany przez nieznajomego. Podejrzany mężczyzna nie ma alibi. ",thriller
aga,2018," Nanook i Sedna mieszkają samotnie w lodowej krainie gdzieś na północy Jakucji. Wieczorami pod stertą futer starzejąca się para opowiada sobie dawne mity, nieprzystające już do rzeczywistości.",drama
hellbound: hellraiser ii,1988,"Kirsty trafia do szpitala psychiatrycznego, w którym dr Channard, dowiedziawszy się o Cenobitach, szuka sposobu na ich przywołanie. ",horror
arachnophobia,1990,Grupa badaczy odkrywa w Wenezueli nowy gatunek bardzo jadowitych pająków. Przez nieuwagę naukowców jeden ze stawonogów trafia do małego kalifornijskiego miasteczka.,horror
lumiere ! laventure commence,2016,"Dokument opowiada o początkach kina i eksperymentach, które stały się podwalinami dzisiejszej kinematografii.",documentary
jeszcze nie wieczor,2008,Przybycie znanej gwiazdy do Domu Aktora zakłóca uporządkowane życie pensjonariuszy. ,drama
vivir dos veces,2019,"Emilio dowiaduje się, że cierpi na&nbsp;chorobę Alzheimera. Zanim straci świadomość, postanawia odnaleźć swoją miłość z&nbsp;dzieciństwa. ",drama
die tur,2009," Odnoszący sukcesy artysta traci kontrolę nad swoim życiem, gdy ginie jego córeczka. W pewnym momencie pojawia się szansa na nowy początek, ale nic nie jest tym, czym się... ",thriller
da xiang xi di er zuo,2018,"Dzień z życia mieszkańców chińskiego miasteczka, których losy tworzą wielowątkową, mozaikową konstrukcję.",drama
mr. woodcock,2007,"Młody chłopak próbuje przeszkodzić matce w poślubieniu mężczyzny, który jest jego dawnym nauczycielem wychowania fizycznego.",comedy
the last face,2016,"Losy szefowej organizacji humanitarnej i lekarza krzyżują się w niebezpiecznych rejonach Liberii, gdzie nawiązują namiętny romans.",drama
jude,1996,"Jude marzy o studiach na uniwersytecie Kiedy bierze ślub z córką farmera, jego ambicje są wystawione na próbę. ",drama
helen,2009,Utalentowana nauczycielka zmaga się z poważną depresją.,drama
major payne,1995,"Zwolniony ze służby wojskowej major dostaje pracę w prywatnej szkole dla kadetów, gdzie przygotowuje&nbsp;chłopców do prestiżowych zawodów międzyszkolnych.",comedy
angst,1983,Psychopatyczny morderca po zwolnieniu z więzienia daje upust swojej żądzy mordu. Jego ofiarami padają mieszkańcy wiejskiego domu. ,thriller
the sun is also a star,2019,"Ona i on, pochodzący z zupełnie różnych środowisk, zakochują się w sobie, ale mają tylko jeden dzień. Nazajutrz dziewczyna zostanie deportowana. ",romance
bedeviled,2016,Po pobraniu tajemniczej telefonicznej aplikacji pięcioro przyjaciół staje się ofiarami nadnaturalnej siły. ,horror
jeremiah johnson,1972,"Były żołnierz popada w konflikt z Indianami, przez co zabijają oni jego żonę i pasierba. Zdesperowany mężczyzna szuka zemsty na oprawcach. ",western
meru,2015,Trzech amerykańskich wspinaczy podejmuje ambitne wyzwanie zdobycia znajdującej się w Himalajach góry Meru.,documentary
his house,2020,Para młodych uchodźców próbuje od nowa ułożyć sobie życie w&nbsp;Anglii. Ich wysiłki niweczy jednak upiorna siła związana z&nbsp;horrorem wojny w&nbsp;ich ojczystym Sudanie Południowym.,horror
oda do radosci,2005,W autokarze jadącym do Wielkiej Brytanii splatają się losy trojga młodych ludzi u progu dorosłości.,drama
hell ride,2008,Wódz bezwzględnego gangu motocyklowego poprzysiągł zemstę przywódcy innej bandy.,action
beauty shop,2005,"Przebojowa fryzjerka otwiera własny zakład, gdzie można nie tylko zadbać o wygląd, ale też poplotkować i znaleźć wsparcie.",comedy
you may not kiss the bride,2011," Skromy fotograf zwierząt Bryan Lighthouse, przeżyje przygodę swojego życia, gdy zostanie zmuszony do poślubienia chorwackiej dziewczyny. Swój miesiąc miodowy spędzają w... ",comedy
megan leavey,2017,"Niemająca planu na życie mieszkanka Nowego Jorku wstępuje do piechoty morskiej. W wyniku incydentu dostaje zdanie czyszczenia psich klatek, gdzie poznaje owczarka niemieckiego, którego boi się każdy.",drama
tu veux ou tu veux pas,2014,"Lambert, seksoholik starający się zerwać z nałogiem, zatrudnia wiecznie niezaspokojoną nimfomankę.",comedy
the extraordinary journey of the fakir,2018,"Młody fakir przybywa do Paryża marząc, by zwiedzić IKEĘ. W skutek zbiegu okoliczności utknie w szafie i wyruszy w podróż po Europie. ",comedy
the void,2016,"Po dostarczeniu zakrwawionego mężczyzny do szpitala zastępca szeryfa Carter zaczyna doświadczać dziwnych i niespodziewanych zdarzeń związanych z grupą tajemniczych, zakapturzonych postaci. ",horror
curdled,1996," Gabriela (Angela Jones) wiele lat temu była świadkiem tragicznej śmierci człowieka, który wyskoczył z okna. Widok krwi i zwłok obudził w niej niezdrową ciekawość. Gdy... ",comedy
before i disappear,2014,"Do Richiego odzywa się siostra, z którą nie utrzymywał kontaktu, prosząca go o opiekę nad swoją jedenastoletnią córką Sophie.",drama
birthday girl,2001,"Nieśmiały Anglik postanawia związać się z Rosjanką poznaną przez Internet, nie zdając sobie sprawy ze skutków swojej decyzji.",comedy
texas chainsaw massacre,2022,"Po niemal 50 latach w ukryciu Leatherface powraca, aby terroryzować grupę młodych idealistów, którzy przypadkiem zakłócają spokój jego starannie chronionego świata w sennym teksańskim miasteczku.",horror
jeepers creepers iii,2017,"Szeryf Dan Tashtego zbiera grupę&nbsp; wyszkolonych myśliwych, która ma dopaść krwiożerczego Smakosza.",horror
every thing will be fine,2015,"Po kłótni ze swoją dziewczyną młody pisarz, jeżdżąc bez celu obrzeżami miasta, przypadkowo potrąca i zabija dziecko. ",drama
the maiden heist,2009,Trzech ochroniarzy planuje kradzież kilku dzieł sztuki.,comedy
disgrace,2008," John Malkovich w adaptacji najsłynniejszej powieści laureata nagrody Nobla J. M. Coetzee, uhonorowanego nagrodą Bookera. Profesor David Lurie (John Malkovich) jest... ",drama
cutthroat island,1995,"Piratka, Morgan Adams, i jej załoga poszukują skarbu ukrytego na nieznanej wyspie. Prowadzi do niego mapa, której odszyfrowania podejmuje się William Shaw.",adventure
wrony,1994,"Wrona to dziewczynka, której brakuje miłości ze strony wiecznie zapracowanej matki. Z tego powodu rodzi się w niej agresja. ",drama
mothers day,2010,"Kiedy trójka braci napada na bank, jeden z nich zostaje postrzelony. Mężczyźni wracają do rodzinnego domu, który zamieszkują nowi właściciele.",thriller
summer camp,2015,Troje wychowawców przyjeżdża na obóz językowy. Kolonie zamieniają się w walkę o życie.,horror
illusions perdues,2021,"Historia kariery i upadku młodego mężczyzny, który marzył o pisarskiej karierze, ale został dziennikarzem. ",drama
tini: el gran cambio de violetta,2016,"Nastoletnia gwiazda serialu telewizyjnego przeprowadza się na wieś, gdzie przeżyje nową, wspaniałą przygodę. ",family
the nuns story,1959,Córka lekarza wstępuje do zakonu i chce wyjechać na misje do Afryki. Klasztorna rzeczywistość jednakże znacznie różni się od jej wyobrażeń.,drama
saved!,2004," Mary i jej najlepsza przyjaciółka Hilary rozpoczynają właśnie ostatni rok nauki w chrześcijańskim liceum. Dziewczyny rozpiera żarliwa religijność, chęć naprawy świata i... ",comedy
epouse moi mon pote,2017,"Aby uniknąć deportacji, Yassine prosi swojego najlepszego przyjaciela Freda o rękę.",comedy
geu-mul,2016,"Ubogiemu północnokoreańskiemu rybakowi sieć uszkadza silnik łodzi, która dryfuje do brzegów Korei Południowej. Tam żołnierze uznają go za szpiega i rozpoczyna się gehenna przesłuchań. ",drama
outcast,2014,"Kiedy następca tronu staje się celem zamachu starszego brata, do pomocy rusza legendarny wojownik. ",action
ernest et celestine,2012,"Niedźwiedź Ernest zaprzyjaźnia się z myszą Celestyną, kiedy ta pomaga mu w potrzebie.",animation
the assistant,2019,"Absolwentka koledżu otrzymuje wymarzoną pracę przy produkcji filmów. Postępując zgodnie z zasadami, staje się coraz bardziej świadoma wszelkich nadużyć i podejrzanych zachowań.",drama
grace a dieu,2018,"Trzej mężczyźni próbują postawić przed wymiarem sprawiedliwości księdza, który ich molestował i wciąż pełni ważną funkcję w strukturach kościelnych. ",drama
the polka king,2017,"Jan Lewan, muzyk polskiego pochodzenia, pragnie zasmakować amerykańskiego snu i nakłania fanów do zainwestowania w piramidę finansową.",comedy
fun mom dinner,2017,Wieczorne wychodne czterech matek zamienia się w przygodę ich życia. ,comedy
im keller,2014,"Dokument przedstawia różne zajęcia, których lokatorzy budynku podejmują się w swoich piwnicach.",documentary
2:37,2006," Film opowiada historie Melody (Teresa Palmer) i jej znajomych - jeden dzień z życia w szkole. W tym czasie widzimy nieszczęścia uczniów, które wydają się być dla... ",drama
russkiy kovcheg,2002,"Niewidzialny człowiek odzyskuje przytomność. Wydaje się, że nikt go nie dostrzega, z wyjątkiem tajemniczego mężczyzny ubranego na czarno.",drama
den 12. mann,2017," Norwegia, 1943 rok. Misja ruchu oporu sabotująca działania Gestapo kończy się klęską. Jan Baalsrud (Thomas Gullestad) jest jedynym z dwunastu członków grupy, któremu... ",war
5 flights up,2014,W związku z przeprowadzką na Manhattan małżeństwo Carverów sprzedaje swój dom. Rozpoczyna się ciąg nieoczekiwanych wydarzeń. ,comedy
la jaula de oro,2013,"Sara, nastolatka z Gwatemali, wyrusza w niebezpieczną podróż do Los Angeles w poszukiwaniu lepszego życia. ",drama
i saw the light,2015,"Historia życia i kariera przedwcześnie zmarłego gwiazdora muzyki country, który tłumi rozmaitymi używkami ból kręgosłupa.",biography
ayka,2018,"Nielegalna imigrantka ucieka z oddziału porodowego, porzucając swojego synka. Jedyne, co posiada, to instynkt przetrwania. ",drama
el club,2015,Ojciec García szuka przyczyn samobójstwa chilijskiego księdza.,drama
the half of it,2020,"Grzeczna i&nbsp;wzorowa licealistka pomaga znajomemu futboliście oczarować dziewczynę, w&nbsp;której oboje się kochają. Współczesna wersja opowieści o&nbsp;Cyranie de Bergeracu.",comedy
blood red sky,2021,"Cierpiąca na&nbsp;tajemniczą chorobę kobieta musi ujawnić swój mroczny sekret, gdy terroryści próbują przejąć samolot, którym podróżuje ona ze&nbsp;swoim synkiem.",horror
skandal. ewenement molesty,2020," Historia kilku chłopaków, zafascynowanych MTV, na ursynowskim blokowisku w połowie lat 90., którzy postanowili założyć kultowy skład Mistic Molesta.",documentary
a vida invisivel de euridice gusmao,2019,"Gdy w latach 50. XX w. brazylijskie kobiety były uzależnione od swoich rodziców i mężów, siostry&nbsp;Gusmão&nbsp;chciały żyć po swojemu.",drama
5x2,2004,Historia rozpadu związku Marion i Gillesa opowiedziana od końca.,drama
boomerang,1992,"Życie Marcusa, podrywacza oraz bawidamka, zmienia się, gdy poznaje nową szefową, Jacqueline. Mężczyzna chce ją zdobyć za wszelką cenę, nie wiedząc, że to specjalistka w notorycznym uwodzeniu i porzucaniu kochanków. ",comedy
seraphim falls,2006,"Rok 1868, kilka lat po zakończeniu wojny secesyjnej. Były pułkownik armii konfederackiej Carver ściga kapitana Gideona, na którym chce się zemścić za krzywdę z przeszłości. ",western
"welcome home, roscoe jenkins",2008,"Popularny prezenter, Roscoe, wraca po latach w rodzinne strony i przekonuje się, że na prowincji jego sukcesy nikogo nie obchodzą. ",comedy
prag,2006,"Przechodzący małżeński kryzys Duńczycy Christoffer i Maja przyjeżdżają do Pragi, gdzie niedawno umarł ojciec mężczyzny. ",drama
burning man,2011,Burzliwe związki Toma z kobietami oddalają mężczyznę od bliskich. ,drama
escape from pretoria,2020,"Rok 1978, Południowa Afryka. Dwaj biali mężczyźni trafiają do więzienia za działalność przeciwko apartheidowi. Zamierzają wysłać reżimowi jasny komunikat poprzez ucieczkę z maksymalnie zabezpieczonego zakładu.",thriller
the prince of tides,1991,"Nauczyciel i trener futbolu amerykańskiego przyjeżdża do Nowego Jorku, by wspomóc psychiatrę w leczeniu jego siostry. Wkrótce między mężczyzną a lekarką rodzi się uczucie. ",drama
resurrection,1999,"Dwóch agentów prowadzi śledztwo dotyczące szaleńca, który z członków ofiar planuje zrekonstruować ciało Jezusa Chrystusa. ",thriller
kairo,2001,"Grupa ludzi otrzymuje przez Internet wiadomości, których nadawcami są dusze zmarłych osób. Podejrzewają, że próbują one powrócić do świata żywych.",horror
dardennen,2015,"Historia dwóch braci, których poza kryminalną przeszłością i miłością do pięknej kobiety, różni wszystko. ",drama
saving silverman,2001,Dwóch kumpli planuje powstrzymać swojego przyjaciela przed poślubieniem niewłaściwej kobiety.,comedy
beurokeo,2022,"Matka chce odzyskać swoje dziecko, które pozostawiła w oknie życia.",drama
young guns,1988,"Kiedy z rąk rewolwerowca ginie stary farmer, który udzielił schronienia młodym bandytom, chłopcy postanawiają go pomścić. ",western
venus noire,2010,"Historia pobytu w Europie Saartije Bartman znanej jako ""hotentocka Wenus"", czarnoskórej tancerki, którą zmusza się do perwersyjnych występów cyrkowych.&nbsp;",drama
violent night,2022," Gdy grupa najemników atakuje posiadłość zamożnej rodziny, Święty Mikołaj musi wkroczyć, aby uratować dzień (i Boże Narodzenie). ",thriller
lets go to prison,2006," John Lyshitski jest stałym bywalcem więzienia. Już jako dziecko trafia do zakładu poprawczego po nieudanej próbie realizacji wielkiego czeku który, był nagrodą w... ",comedy
the grudge 3,2009,"Młoda Japonka przyjeżdża do nawiedzonego domu w Chicago, aby powstrzymać ducha Kayako.",horror
the babysitters,2007,"Studentka Shirley dorabia jako niania. Gdy idzie do łóżka z ojcem swojego podopiecznego, postanawia zostać dziewczyną na telefon.",drama
mad money,2008,"Gdy Don traci pracę, jego od zawsze bezrobotna żona Bridget, obawiając się pogorszenia stopy życiowej, zostaje sprzątaczką w Federalnym Banku Rezerw Kansas City.",comedy
the perfection,2018,"Wirtuozka wiolonczeli po&nbsp;długiej przerwie w&nbsp;karierze odszukuje dawnych mentorów i&nbsp;odkrywa, że mają nową utalentowaną uczennicę.",thriller
"milosc, seks &amp; pandemia",2021,"Pandemia koronawirusa wywraca do góry nogami życie czwórki bohaterów. Niebawem, w czasie całkowitego lockdownu, poznają oni, że miłość ma wiele twarzy.",drama
eastern,2019,"W świecie regulowanym bezwzględnym, patriarchalnym kodeksem dwie młode dziewczyny, w imię honoru swych rodzin, muszą dokończyć krwawą wendetę ",thriller
drillbit taylor,2008,"Troje uczniów zatrudnia ochroniarza, aby chronił ich przed znęcającymi się nad nimi kolegami ze szkoły. ",comedy
rage,2009,Młody bloger rozmawia z gwiazdami w świecie mody na temat branży oraz wypadku podczas eventu.,drama
i spit on your grave 3,2015,"Jennifer uczęszcza na terapię. Gdy jej przyjaciółka z grupy wsparcia zostaje zgwałcona i zamordowana, dziewczyna postanawia sama wymierzyć sprawiedliwość.",thriller
the ballad of jack and rose,2005," Rebecca Miller, która zdobyła nagrodę główną jury festiwalu Sundance za film ""Personal Velocity"" nakręciła swój kolejny obraz. Jest to historia ojca i jego 16-letniej... ",drama
minis first time,2006,Mini uwodzi swojego ojczyma. Wkrótce nakładania go do planu umieszczenia matki w zakładzie psychiatrycznym.,comedy
two mules for sister sara,1970,Kowboj ratuje na pustyni niewiastę nękaną przez bandytów. Ocalona kobieta namawia go do walki z Francuzami u boku meksykańskich rewolucjonistów. ,western
joe dirt,2001," David Spade gra Joe'ego, młodego człowieka z prowincji, który wyrusza do Los Angeles na poszukiwanie swych prawdziwych rodziców. Dobry humor nie opuszcza go ani na... ",comedy
nomis,2018,"Porucznik Marshall przeżywa trudne chwile w życiu osobistym, kiedy dostaje sprawę śmierci nastolatki. Odkrywając i aresztując jej oprawcę, podejmuje współpracę z emerytowanym sędzią, który na własną rękę eliminuje pedofilów.",thriller
half past dead,2002,"Zakonspirowany agent FBI staje do walki z bandytą, który przetrzymuje zakładników.",thriller
terrifier 2,2022,"Maniakalny klaun powraca, aby terroryzować nastolatkę i jej młodszego brata w noc Halloween.",horror
jutro bedzie lepiej,2010," Trzech bezdomnych chłopców, dwaj bracia i ich kolega, mieszka na rosyjskim dworcu kolejowym. Pewnego dnia postanawiają wyruszyć w poszukiwaniu lepszego jutra. Chcą... ",drama
"marti, dupa craciun",2010," Jeden z najlepszych ﬁlmów rumuńskich zeszłej dekady, porażająca realizmem prosta historia o miłości i zdradzie, która urasta do rangi thrillera. Paul to człowiek... ",drama
the wild one,1953,Do małego miasteczka zjeżdżają dwa rywalizujące ze sobą gangi motocyklowe. Lider jednego z nich zakochuje się w córce szeryfa.,drama
white shadow,2013," W Afryce Wschodniej albinosi traktowani są jak lukratywny towar. Szamani płacą fortunę za części ciała i narządy dotkniętych bielactwem osób, wierzą bowiem, że... ",drama
los amantes del circulo polar,1998,"Ana i Otto, będąc jeszcze dziećmi, zakochują się w sobie. Nie wiedzą jednak, że wielka miłość zmieni całe ich życie. ",drama
last men in aleppo,2017,"Dokument przedstawia pracę wolontariuszy Białych Hełmów, którzy przeszukują gruzy zniszczonego syryjskiego miasta, w poszukiwaniu żywych osób.",documentary
ask me anything,2014,W trakcie przerwy w nauce Katie rozpoczyna pisanie bloga o swoich intymnych sekretach.,drama
an awfully big adventure,1995," Nastoletnia Stella marzy o karierze aktorki. W teatrze poznaje swojego przyszłego kochanka, przystojnego O’Hare. ",drama
heart of a dog,2015,Dokument multimedialnej artystki będący przemyśleniami nad jej związkiem z ukochanym terrierem. ,documentary
parkland,2013,"Opowieść o chaotycznych wydarzeniach, które miały miejsce w szpitalu Parkland (Dallas), kiedy zamordowano prezydenta USA Johna F. Kennedy'ego.",drama
the great hack,2019,Po&nbsp;wyborach prezydenckich w&nbsp;USA w&nbsp;2016&nbsp;r. firma Cambridge Analytica stała się symbolem ciemnej strony mediów społecznościowych.,documentary
bringing up baby,1938,"Stateczny antropolog poznaje kobietę, która wywraca jego życie do góry nogami. ",comedy
5 broken cameras,2011,Emad - palestyński rolnik - za pomocą pięciu kamer dokumentuje różne oblicza walki swojej wioski z izraelską opresją.,documentary
half baked,1998,"Trójka przyjaciół rozpoczyna handel trawką, by uzbierać na kaucję, niezbędną do wyciągnięcia ich kumpla z więzienia.",comedy
13th,2016,"Badacze, aktywiści i&nbsp;politycy analizują przyczyny kryminalizacji Afroamerykanów oraz wzrostu liczby więźniów w&nbsp;USA.",documentary
hwal,2005," Film opowiada o uczuciu pomiędzy staruszkiem, a nastoletnią dziewczyną. Oboje mieszkają na łodzi dryfującej u wybrzeży Korei. On żyje z pieniędzy wędkarzy, których... ",drama
priest,1994,Ukrywający swój homoseksualizm młody ksiądz trafia do parafii w Liverpoolu. ,drama
marked for death,1990,John Hather zostaje wciągnięty w walkę o podział rynku narkotykowego Chicago.,thriller
body heat,1981,"Prawnik, Ned Racine, morduje męża swojej kochanki. ",crime
army of thieves,2021,"Prequel ""Armii umarłych"", w którym tajemnicza kobieta rekrutuje bankowego kasjera do pomocy w skoku na najtrudniejsze do otwarcia europejskie sejfy.",comedy
tesis,1996,Angela piszę pracę dyplomową dotyczącą przemocy ukazywanej w filmach. Natrafia na kasetę z zapisem morderstwa zaginionej studentki.,thriller
friday the 13th part iii,1982,"Grupa przyjaciół chce spędzić miły weekend w domku nad jeziorem. Nie wiedzą jednak, że brutalny morderca, Jason, wybrał ich sobie na kolejne ofiary.",horror
journal dune femme de chambre,2015,Początek XX w. Młoda służąca trafia między awanse pana domu a pretensje jego żony. Wkrótce zakochuje się w niej ogrodnik. ,drama
alex strangelove,2018,"Licealista Alex Truelove chce stracić dziewictwo ze&nbsp;swoją uroczą dziewczyną Claire. Jego plan spala na&nbsp;panewce, gdy poznaje równie uroczego Elliota.",comedy
transylvania,2006,"Zingarina wraz z przyjaciółką przyjeżdża do Transylwanii, by znaleźć miłość swego życia.",drama
"food, inc.",2008,"Dokument przedstawia, w jaki sposób wielkie korporacje kontrolują rynek żywnościowy. ",documentary
adulthood,2008," Kiedy Sam Peel wychodzi z więzienia za zabicie Trife'a, napotyka trudności z dostosowaniem się do życia na zewnątrz. Jest zmuszony zmierzyć się z ludźmi których... ",drama
i am not a witch,2017,Dziewięcioletnia Shula zostaje skazana za uprawianie magii i zamknięta w obozie dla czarownic. ,drama
mac &amp; devin go to high school,2012,Bystry nastolatek próbuje pomóc wieloletniemu uczniowi ostatecznie ukończyć szkołę średnią.,comedy
white girl,2016,Zdeterminowana studentka stara się wyciągnąć swojego chłopaka z więzienia.,drama
cleo de 5 a 7,1962,"Pełna zmartwień piosenkarka Cléo przemierza ulice Paryża, oczekując wyników biopsji.",drama
the amityville horror,1979,"Listopad rok 1974, Ronald Defeo zabija członków swojej rodziny. Rok później do domu, gdzie popełniono zbrodnię, wprowadza się małżeństwo Lutzów z trójką dzieci. ",horror
foxfire,1996,Pojawienie się tajemniczej Legs diametralnie zmienia życie czterech spokojnych uczennic liceum.,drama
99 homes,2014,"Dennis, by odzyskać swój dom, podejmuje się pracy polegającej na eksmitowaniu dłużników z ich posesji.",drama
tasogare seibei,2002,"Po śmierci żony samuraj Seibei&nbsp;poświęca się rodzinie. Niespodziewanie w jego życie ponownie wkracza Tomoe, ukochana z dzieciństwa.",drama
outpost,2008,Grupa najemników odkrywa we wschodniej Europie tajemniczy bunkier będący pozostałością po II wojnie światowej.,horror
the love guru,2008," Rywalizując o tytuł najlepszego na świecie służącego pomocą guru, Pitka musi pomóc gwieździe hokeja zarówno odzyskać żonę odbitą przez rywala, Jacques ""Le Coqa"" Grande... ",comedy
ennio,2021,Dokument o legendarnym kompozytorze Ennio Morricone. ,documentary
winter on fire,2015,Ukraińska demonstracja studencka dotycząca integracji europejskiej przeistacza się w rewolucję wzywającą do dymisji prezydenta Janukowycza. ,documentary
pogrzeb kartofla,1990,"Były więzień obozu koncentracyjnego powraca do swojej miejscowości, czym budzi nieufność lokalnej społeczności. ",drama
hang em high,1968,Omyłkowo wzięty za przestępcę Jed Cooper zostaje skazany na śmierć. Mężczyzna cudem unika kary i zamierza wymierzyć sprawiedliwość swoim niedoszłym katom. ,western
at first sight,1999,Nowojorska pani architekt poznaje w spa niewidomego masażystę. Wkrótce zamieszkują razem. ,drama
strictly ballroom,1992,"Ekstrawagancki tancerz, aby wygrać konkurs, ćwiczy z nową partnerką zabroniony przez krytyków układ.",comedy
father of the bride part ii,1995,"Życie Georga zostaje zdezorganizowane, kiedy dowiaduje się o ciąży córki i nieoczekiwanej brzemienności żony. ",comedy
needful things,1993,"Tajemniczy Leland Gaunt przybywa do Castle Rock, otwierając antykwariat, w którym mieszkańcy mogą nabyć przedmioty o jakich zawsze marzyli. Ceną jest spłatanie sąsiadowi pozornie niewinnego figla.",horror
the other lamb,2019,"Z dala od cywilzacji wychowywana w samowystarczalnej społeczności Selah jest córką Pasterza. Gdy ma zostać kolejną jego żoną, zaczyna doświadczać przerażających wizji i kwestionować nauki przywódcy.",thriller
halloween: resurrection,2002,"Szóstka nastolatków udaje się do dawnego domu Michaela Myersa. Nie zdają sobie sprawy, że zło w masce nadal istnieje.",horror
archive,2020,"W 2038 r. naukowiec próbuje stworzyć robota będącego kopią jego zmarłej żony ze&nbsp;wszystkimi wspomnieniami, lecz wczesne prototypy wykazują coraz większe oznaki zazdrości.",sci-fi
brahms: the boy ii,2020,"Traumatyczne rodzinne przeżycie sprawia, że rodzice oddalają się od siebie, a ich syn przestaje mówić. Przeprowadzka do nowego domu, mająca być nowym początkiem, zamienia ich życie w koszmar. ",horror
loser,2000,"Paul wyjeżdża na studia do Nowego Jorku. Jest skromny i pilny w nauce, przez co staje się pośmiewiskiem wśród swoich kolegów. ",comedy
lekcje pana kuki,2007,"Waldek planuje poszukać pracy za granicą w wakacje. Kilku bezcennych rad udziela mu znajomy, pan Kuka. ",comedy
bachelor party,1984,"Przyjaciele organizują Rickowi wieczór kawalerski. Ojciec jego wybranki ma nadzieję, że impreza skompromituje przyszłego zięcia. ",comedy
ostwind 3: aufbruch nach ora,2017,"Mika razem z przyjaciółmi próbuje uratować ziemię, na której znajduje się tajemnicza oaza. W tym celu planuje wskrzesić dawną tradycję - wyścigi dzikich koni.",adventure
pavarotti,2019,"Dokument przedstawiający życie wybitnego śpiewaka operowego, który sławą przyćmił niejedną gwiazdę rocka. ",documentary
indochine,1992,Plantatorka Eliane poznaje młodego oficera Jeana-Baptiste'a. Wkrótce jej córka również zakochuje się w żołnierzu marynarki. ,drama
hideous kinky,1998,"Młoda Angielka opuszcza Londyn wraz z dwiema córkami i wyjeżdża do Marrakeszu, gdzie poszukuje duchowej odnowy. ",drama
ostatnia gora,2019,"Grupa kilkunastu wspinaczy próbuje dokonać historycznego, zimowego wejścia na K2.",documentary
life of crime,2013,"Dwaj drobni przestępcy porywają żonę wpływowego Franka Dawsona. Mężczyźni żądają od niego okupu, lecz ten niechętny jest do zapłaty. ",comedy
wrong turn 6: last resort,2014,"Danny dziedziczy pensjonat położony w małym miasteczku. Gdy z przyjaciółmi udaje się zobaczyć ośrodek, odkrywa, że jest on zamieszkały.",horror
red rock west,1993,"Właściciel baru omyłkowo uznaje szukającego pracy Michaela za płatnego zabójcę, którego wynajął do zabicia żony. ",thriller
silkwood,1983,Karen Silkwood pracuje przy produkcji paliwa jądrowego. Z czasem zaczyna interesować się wpływem plutonu na zdrowie pracowników. ,drama
quand on a 17 ans,2016,"Damien mieszka z matką - lekarką, a w szkole jest prześladowany przez&nbsp; Thomasa. Ponieważ matka tego drugiego jest chora chłopcy zostają zmuszeni do zamieszkania pod jednym dachem. ",drama
